File,L_taps,mu,tau_v_samples,tau_q_samples,W_X,W_Y,W_Z,BPR_Single_dB,BPR_Dual_dB,BPR_gain_dB,MSE_BL_Single,MSE_BL_Dual,PCC_Single,PCC_Dual,Retention_Single_%,Retention_Dual_%,Retention_gain_pp
s10_walk.csv,256,0.1,23,150,0.2980700795884206,0.3509649602057897,0.3509649602057897,6.099210339061445,11.451036269132992,5.351825930071547,0.0016413099248916137,0.000478638911305609,0.7396077323291002,0.747072450805248,100.0,100.0,0.0
s10_run.csv,256,0.1,4,-78,0.13081191421781935,0.5046881507884196,0.36449993499376104,5.862199991100637,7.091298410874002,1.229098419773365,0.003671203888749155,0.0027662960887776893,0.745008805815855,0.7427841776777364,99.87937273823884,99.87937273823884,0.0
s10_sit.csv,1,0.3,-101,40,0.2325103371032325,0.33415286937873845,0.4333367935180291,7.944124789117421,9.585421267715587,1.641296478598166,0.0004046522070740924,0.00027730152958243285,0.4608839009523487,0.3970160287137151,100.0,99.83443708609272,-0.16556291390728006
s10_walk.csv,1,0.3,23,150,0.2980700795884206,0.3509649602057897,0.3509649602057897,12.816664276995905,8.12070455327287,-4.6959597237230355,0.00034949840723686056,0.0010304838126993592,0.47363627969545613,0.4061187097937353,100.0,100.0,0.0
s10_run.csv,1,0.3,4,-78,0.13081191421781935,0.5046881507884196,0.36449993499376104,12.832312601140323,6.772205455025755,-6.060107146114568,0.0007375598091056818,0.0029771996433654705,0.4663550003180398,0.3805435698345643,99.63811821471653,99.87937273823884,0.2412545235223149
s10_sit.csv,16,0.3,-101,40,0.2325103371032325,0.33415286937873845,0.4333367935180291,2.7447869304801067,5.8662757321609496,3.121488801680843,0.0013397251187018317,0.0006529302948431116,0.30885174582261216,0.34882409688363797,97.01986754966887,99.50331125827815,2.483443708609272
s10_walk.csv,16,0.3,23,150,0.2980700795884206,0.3509649602057897,0.3509649602057897,3.4124517771215714,8.70430719613546,5.2918554190138885,0.00304695788863184,0.0009009089672797285,0.38345553512523534,0.3941149355484715,99.57627118644068,100.0,0.4237288135593218
s10_run.csv,16,0.3,4,-78,0.13081191421781935,0.5046881507884196,0.36449993499376104,2.5235381317576433,6.383678356799499,3.8601402250418557,0.007919079277990328,0.0032558221102503638,0.3693797220474871,0.3772270693300337,99.39686369119421,99.87937273823884,0.4825090470446298
s10_sit.csv,64,0.3,-101,40,0.2325103371032325,0.33415286937873845,0.4333367935180291,6.883417281306704,8.045433258395898,1.1620159770891938,0.0005165979334135235,0.0003953220752473919,0.3448482603933028,0.3735210531381026,99.50331125827815,100.0,0.4966887417218544
s10_walk.csv,64,0.3,23,150,0.2980700795884206,0.3509649602057897,0.3509649602057897,3.188577468902003,9.17382527324126,5.985247804339257,0.003208144215036292,0.0008085913702151717,0.3727945252120555,0.4067106998331673,99.85875706214689,100.0,0.14124293785310726
